"","city","state","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34","col35","col36","col37","col38","col39","col40","col41","col42","col43","col44","col45","col46","col47","col48","col49","col50","col51","col52","col53","col54","col55","col56","col57","col58","col59","col60","col61","col62","col63","col64","col65","col66","col67","col68","col69","col70","col71","col72","col73","col74","col75","col76","col77","col78","col79","col80","col81","col82","col83","col84","col85","col86","col87","col88","col89","col90","col91","col92","col93","col94","col95","col96","col97","col98","col99","col100","col101","col102","col103","col104","col105","col106","col107","col108","col109","col110","col111","col112","col113","col114","col115","col116","col117","col118","col119","col120","col121","col122","col123","col124","col125","col126","col127","col128","col129","col130","col131","col132","col133","col134","col135","col136","col137","col138","col139","col140","col141","col142","col143","col144","col145"
"530","Warwickcity","RI",3,74300,3,85427,2.55,0.79,97.97,0.83,0.99,12.1,24.16,11.21,15.12,85427,100,35786,77.18,0.36,48.16,32.68,5.3,20.85,42120,16371,16393,13614,11080,18571,10244,15803,4078,4.84,6.04,22.18,21.26,5.44,63.59,19.95,23.88,12.08,27.59,7.91,28.01,10.64,9.37,3.08,81.43,79.06,91.95,76.32,64.43,72.52,768,1.18,3610,4.6,7.92,10.53,14.24,0.19,0.33,0.44,0.6,93.52,0.67,3.67,2.57,2.52,2.73,1.91,80.58,1.06,44.43,3,1704,95.15,74.41,2.23,36.85,1958,0.95,0.3,96900,116600,142700,45800,324,511,629,305,570,27.3,22.7,14.1,0,0,4.23,75.27,65.58,82.04,93.2,2322.5,1.76,3.57,129534,3,3.5,17,19.83,35,40.83,308,359.35,517,603.19,2444,2851.44,636,742.03,48,56,423.52,4252.66,168,196.01,166,193.67,83631,97573.2,497.8,196,98.57,99.4,0.6,0,0,0.6,6,12,59.5,36.8,68,11102485,98.81,0
"532","EastBrunswicktownship","NJ",23,19000,3,43548,2.92,2.23,88.14,9.06,2.86,13.54,25.63,12.2,8.2,43548,100,58769,87.61,0.45,60.97,20.27,2.69,15.05,64076,24467,25146,22207,20160,18839,15212,21944,987,2.27,4.17,11.99,40.94,3.86,70.02,17.06,28.05,7.58,41.88,4.55,28.36,7.2,5.9,3.26,89.38,87.69,96.75,86.79,55,67.74,166,0.57,6093,11.88,19.37,29.26,36.89,1.66,2.71,4.09,5.16,81.48,2.02,4.34,3.59,2.92,3.03,2.31,87.6,1.48,32.03,3,474,96.92,84.3,1.05,36.92,1968,0.23,0.41,147700,190400,242200,94500,604,684,872,268,731,25.9,22.5,14.1,7,0,13.99,46.97,62.42,78.8,85.19,1910.5,10,2.2,103203.9,0,0,11,24.24,18,39.67,40,88.16,213,469.44,1186,2613.89,101,222.6,7,15.43,152.07,3321.36,91,200.56,82,180.72,20600,45401.5,226.4,200.6,72.23,69.05,1.59,1.59,0,3.17,2,10,1.1,22.8,56,4682670,90.11,0
"534","Bostoncity","MA",25,7000,3,574283,2.51,25.59,62.84,5.29,10.79,15.09,35.85,19.45,10.05,574283,100,29180,76.69,0.44,36.87,21.15,11.94,11.92,34377,15581,18939,10420,9319,9406,7959,8364,102092,18.71,10.34,24.3,30,8.32,60.86,9.91,34.71,9.63,32.71,8.56,55.03,11.76,10.24,3.19,52.51,48.77,61.67,53.24,57.36,62.98,40383,11.24,114597,23.72,33.9,45.38,55.29,4.73,6.77,9.05,11.03,74.42,6.36,8.4,4.46,2.37,2.64,2.25,34.36,6.88,68.27,2,22399,91.07,30.88,6.94,38.17,1939,3.36,0.85,131300,161400,193400,62100,326,546,735,409,625,28.4,22.6,14.1,2245,218,19.95,51.26,47.82,71.68,79.69,11447.7,32.2,3.51,217844.59,98,17.8,480,87.16,4081,741.04,6184,1122.9,7982,1449.39,24789,4501.24,11932,2166.64,NA,NA,1968.89,NA,2053,372.79,1919,348.46,519282,94292.3,252.9,372.8,88.7,74.14,20.46,4.82,0.58,25.86,72,9,323.8,50.2,737,119970312,93.47,5
"541","Madisoncity","WI",25,48000,3,191262,2.47,4.24,90.72,3.91,2.03,18.9,38,23.7,8.17,191262,100,29420,84.32,1.07,58.6,18.4,5.16,12.5,40799,15143,15901,7610,9527,7522,7571,9247,28640,16.05,3.84,9.38,41.98,3.52,68.16,9.57,37.44,7.88,35.31,7.72,47.42,10.81,9.32,2.92,73.9,72.82,82.43,73.97,71.37,78.05,2909,2.85,10906,35.2,47.14,57.09,66.02,2.01,2.69,3.26,3.76,91.47,1.04,2.98,1.9,2.3,2.6,2.04,52.94,2.98,54.57,2,2686,96.64,46.96,0.97,21.78,1962,1.74,0.43,61500,75200,97200,35700,338,430,530,192,472,28.3,20.7,13.2,209,5,5.7,63.1,38.27,68.18,82.66,3196.2,7.74,6.98,132076.09,2,1.02,99,50.47,316,161.1,214,109.1,1606,818.74,7466,3806.15,913,465.45,56,28.55,321.68,5118.88,301,153.45,232,118.27,109422,55783.2,363.5,153.4,96.98,91.03,5.98,2.99,0,8.97,21,9,169.5,59.8,105,25907512,77.08,10
"550","Elizabethcity","NJ",39,21000,3,110002,2.81,19.85,65.54,2.73,39.14,13.56,28.63,13.69,10.89,110002,100,27631,77.5,0.39,29.91,24.92,11.45,13.14,31478,12112,13481,8278,10404,14483,10425,10387,17451,16.12,20.43,41.52,11.46,9.91,59.6,26.38,17.05,29.2,15.65,10.05,38.32,12.97,11.56,3.35,63.73,57.18,70.54,63.06,59.37,65.04,6880,9.04,40594,15.67,25.69,35.29,48.06,5.78,9.48,13.02,17.74,43.38,17.17,8.86,6.14,2.76,3.17,2.57,36.4,11.54,68.25,2,2214,94.64,31.7,4.74,34.87,1946,8.53,1.08,107800,145400,173900,66100,351,456,553,202,520,26.2,25.3,14.6,61,43,36.9,43.19,55.21,80.06,86.54,8617.3,10.61,7.43,154813.41,17,15.91,42,39.31,878,821.72,464,434.26,1851,1732.35,4058,3797.88,2155,2016.86,23,21.53,1311.2,7568.62,296,277.03,276,258.31,121434,113650.1,410.2,277,79.06,86.49,5.07,8.45,0,13.51,22,14,141.9,12.8,90,16541654,93.24,10
"554","Patersoncity","NJ",31,57000,3,140891,3.21,36.01,41.15,1.44,40.96,16.36,31.29,15.64,8.77,140891,100,26960,78.86,0.42,24.39,24.22,13.05,11.16,30145,10518,12273,9901,8640,10680,8160,8362,25677,18.54,22.45,45.12,8.71,11.04,59.88,29.5,19.19,28.8,14.08,10.4,42.05,14.73,12.67,3.63,55.05,47.23,66.38,56.74,61.01,67.56,14804,13.92,35355,16.58,28.56,40.54,53,4.16,7.17,10.17,13.3,50.16,14.47,14.25,10.68,3.14,3.36,3.03,36,14.33,65.12,2,2192,95.25,33.62,5.75,38.05,1948,11.33,1.17,100100,138700,170300,70200,324,444,554,230,524,28.4,24.2,18.1,252,94,25.09,46.96,54.62,86.17,89.55,16110.7,10.55,10.23,98747.4,23,16.55,78,56.11,1089,783.41,994,715.07,3260,2345.21,4079,2934.38,1823,1311.44,113,81.29,1571.14,6672.33,352,253.22,314,225.89,109422,78716.9,310.9,253.2,67.85,73.01,14.77,11.65,0.28,26.7,36,11,71,8.7,111,13726580,89.2,0
"574","Bellevuecity","WA",NA,NA,3,86874,2.43,2.23,86.5,9.95,2.52,12.34,26.4,12.55,9.53,86878,100,43800,85.06,0.8,58.5,18.85,2.87,14.74,54261,23816,25073,14224,17004,16115,12841,15732,4807,5.58,1.84,5.82,45.65,3.03,70.55,17.03,22.11,6.06,39.81,9.06,30.94,14.05,11.63,2.94,79.33,78.66,87.02,80.28,53.62,66.89,646,1.11,11548,24.74,30.38,39.89,48.46,3.29,4.04,5.3,6.44,86.45,2.74,3.66,2.43,2.41,2.65,2.08,63.99,2.46,42.95,3,1672,95.53,58.22,0.36,8.85,1971,0.76,0.17,146300,192800,274100,127800,457,542,664,207,610,27.2,19.3,11.4,18,13,13.29,37.25,44.2,73.84,79.75,3175.7,6.81,6.11,117518.9,2,2.34,32,37.37,74,86.42,83,96.93,641,748.6,3742,4370.17,279,325.84,41,47.88,223.06,5492.49,131,152.99,123,143.65,58000,67736.4,442.7,153,94.85,89.31,3.82,0,6.11,9.92,8,7,94.1,27.4,70,10062672,93.89,10
"584","BatonRougecity","LA",NA,NA,3,219531,2.63,43.89,53.95,1.67,1.57,18.18,32.79,19.12,10.39,219531,100,21898,75.89,0.65,33.86,22.9,9.88,15.16,29024,12398,17592,6159,17787,9069,8762,12527,54669,26.17,8.8,23.24,28.34,9.35,56.17,9.95,31.81,10.27,31.72,10.33,40.74,14.14,12.37,3.18,58.08,51.66,66.25,58.25,63.3,68.76,16228,9.92,6531,25.42,34.54,46.7,55.14,0.76,1.03,1.39,1.64,93.11,0.78,6.43,4.09,2.51,2.69,2.3,56.7,5.33,52.58,2,13775,85.82,52.83,13.02,54.72,1965,5.96,0.5,43000,67900,94700,51700,199,273,346,147,354,28.5,18.2,12.5,131,7,2.97,75.16,51.53,80.32,92.04,2865.6,1.88,3.38,101771.3,74,32.31,177,77.28,1866,814.75,4705,2054.34,7543,3293.5,18156,7927.45,4006,1749.14,158,68.99,2978.69,13039.07,591,258.05,445,194.3,168694,73656.8,285.4,258,75.95,77.83,21.32,0.68,0,22,20,8,103.2,76.6,499,23308370,75.3,5
"602","Inglewoodcity","CA",NA,NA,3,109602,3.04,51.88,17.4,2.51,38.55,15.49,32.09,15.48,6.13,109602,100,29881,83.47,0.6,19.34,16.07,11.32,10.45,32077,11899,13089,14437,20939,14370,6083,6504,17806,16.47,17.16,34,14.93,10,62.87,17.35,22.35,15.73,20.93,11.74,42.29,18.78,15.42,3.62,57.06,54.18,68.39,63.51,59.19,67.29,8655,11.89,31670,21.64,32.37,42.49,56.37,6.25,9.35,12.28,16.29,59.93,14.03,16.2,11.12,2.99,3.12,2.92,37.88,24.45,78.45,2,2611,93.26,36.31,3.1,19.92,1958,4.42,0.92,135000,170400,210100,75100,468,556,670,202,618,31.2,26.3,12.8,10,95,28.9,39.84,45.42,85.65,87.55,11537.1,7.5,5.83,190782.59,45,40.67,68,61.46,1329,1201.21,858,775.5,1561,1410.91,2251,2034.56,2290,2069.81,60,54.23,2078.85,5569.51,206,186.19,188,169.92,70000,63269.4,339.8,186.2,50.98,64.56,19.9,11.17,3.88,34.47,12,6,118.9,9.5,94,21107804,91.26,5
"607","GreenBaycity","WI",9,31000,3,96466,2.51,0.47,94.22,2.32,1.1,13.75,28.94,13.74,11.22,96466,100,26770,77.3,0.52,50.43,26.38,8.46,12.54,33367,12969,13428,11094,5438,3552,6297,5166,12607,13.39,9.08,19.15,16.66,5.42,64.66,22.09,20.71,17.91,21.78,9.48,31.71,11.47,10.54,3.08,73.03,73.56,77.8,75.84,65.65,71.31,2155,2.83,2318,25.11,32.01,38.57,57.51,0.6,0.77,0.93,1.38,94.99,1.35,4.1,2.64,2.45,2.7,2.12,62.36,2.25,51.49,2,1343,96.62,56.56,0.6,30.01,1962,2.71,0.32,44400,55500,70900,26500,253,314,379,126,363,25.1,20.6,13.3,150,1,2.4,81.03,51.17,82.99,92.57,2124.3,2.18,7.81,78269.4,2,1.93,62,59.88,46,44.43,341,329.35,644,622.01,3368,3252.97,239,230.84,9,8.69,435.6,4114.51,128,123.63,93,89.82,36500,35253.4,285.2,123.6,94.22,97.66,0,0,0,0,10,7,210.9,45.4,28,8103698,72.66,10
"609","Tulsacity","OK",NA,NA,3,367302,2.36,13.57,79.35,1.4,2.6,13.38,27.1,13.31,11.4,367193,100,25708,78.06,1.04,40.18,24.13,5.85,13.35,32619,15434,17272,7238,9829,14901,7797,9193,53768,14.99,5.03,17.74,25.82,6.09,62.75,14.16,24.19,10.36,30.07,12.78,28.45,17.3,15.18,2.96,68.73,65.86,79.06,70.27,59.86,66.88,9754,3.66,11010,19.28,26.88,36.79,47.65,0.58,0.81,1.1,1.43,94.63,0.88,3.64,2.29,2.31,2.47,2.1,59.77,2.8,51.13,2,20764,88.22,55.81,11.02,50.29,1965,7.03,0.33,42000,60500,89700,47700,225,293,380,155,358,24.4,19.8,12.8,334,91,3,56.17,46.2,77.81,86.27,1931.9,1.5,4.56,143356.8,54,14.32,339,89.88,1143,303.06,3385,897.52,7196,1907.98,12790,3391.21,4447,1179.1,249,66.02,1304.78,6544.31,702,186.13,624,165.45,336192,89139.7,478.9,186.1,89.18,86.18,9.12,0.43,0.28,9.83,32,14,89.2,190.1,650,54067288,88.89,5
"616","Manchestercity","NH",11,45140,3,99567,2.47,0.97,96.97,1.1,2.13,12.69,29.69,14.17,12.17,99567,100,31911,79.96,0.5,44.61,25.99,5.86,13.83,38812,15111,15272,9625,8595,12818,8309,9600,8694,8.99,11.74,25.06,19.57,7.07,65.92,18.34,21.49,14.59,24.55,10.74,33.47,13.33,12.1,3.01,71.67,69.45,76.81,71.42,69.15,76.26,2089,2.99,6739,15.61,22.11,27.33,29.71,1.06,1.5,1.85,2.01,81.17,1.7,3.45,2.18,2.4,2.69,2.15,51.62,1.61,58.39,2,4023,90.93,46.04,2.11,23.39,1953,5.81,0.39,100500,118600,143300,42800,371,467,557,186,537,26.3,23.4,15.1,147,1,6.77,60.24,49.01,78.16,85.75,2910.9,1.41,4.24,82780.8,5,5.09,33,33.62,140,142.65,41,41.77,1277,1301.14,3536,3602.83,448,456.47,28,28.53,223.14,5388.97,165,168.12,150,152.84,55519,56568.3,336.5,168.1,97.58,98.79,0.61,0,0,0.61,7,7,191.8,34.2,33,8124523,90.91,0
"633","Pomonacity","CA",NA,NA,3,131723,3.61,14.43,57.02,6.67,51.27,16.1,32.83,16.31,6.19,131723,100,32132,82.82,0.53,25.88,18.05,13.01,11.02,34751,10728,12191,10359,11504,10714,7007,6930,23648,18.43,21.66,40.4,13.13,9.08,60.3,26.29,17.92,24.25,19.68,8.9,39.85,13.43,11.11,3.96,71.83,63.54,78.63,72.57,51.64,57.38,6699,7.14,41589,20.77,32.01,42.67,55.28,6.56,10.11,13.47,17.45,50.43,17.57,21.98,16.93,3.52,3.47,3.59,56.57,25.49,56.28,2,2023,94.74,57.43,4.15,18.78,1963,5.64,0.44,107600,134200,172000,64400,427,527,646,219,592,32,26.8,11.6,211,6,31.57,45.96,40.16,79.41,88.17,5570.2,3.24,4.07,126273.2,40,27.66,81,56.02,995,688.14,1237,855.5,2282,1578.22,3721,2573.43,1840,1272.54,389,269.03,1627.33,5693.22,172,118.95,152,105.12,211982,146606,1232.5,119,70.97,86.05,3.49,8.72,1.74,12.79,7,13,105.7,23.6,77,18258220,88.37,5
"641","LittleRockcity","AR",NA,NA,3,175795,2.42,33.98,64.68,0.87,0.76,13.54,27.86,13.17,11.13,175781,100,26889,79.02,0.93,37.56,23.85,5.67,14.37,34347,15307,19395,7559,19763,12880,16843,12926,25193,14.62,6.11,18.05,30.34,5.26,64.12,10.37,31.4,10.41,33.74,11.93,31.08,16.45,14.4,3.04,64.44,58.75,73.91,64.45,70.33,75.92,8160,6.51,3638,22.37,29.36,40.43,49.78,0.46,0.61,0.84,1.03,96.23,0.54,4.72,2.97,2.37,2.57,2.11,61.04,3.06,49.15,3,8422,89.6,56.21,9.25,36.43,1968,5.86,0.51,44200,64200,92700,48500,239,318,395,156,415,26.9,19.8,13,140,1,2.07,70.81,48.8,80.79,89.48,1649.7,1.44,4,45708.2,68,37.61,215,118.9,1136,628.25,4468,2470.95,5796,3205.38,14306,7911.69,2081,1150.86,174,96.23,3255.71,12364.16,100,55.3,74,40.92,28293,15647,282.9,55.3,82.68,82,18,0,0,18,4,5,0,106.6,100,8265000,74,0
"646","NiagaraFallscity","NY",63,51055,3,61840,2.38,15.58,82.19,0.26,1.2,12.62,24.51,12.09,17.36,61840,100,20641,66.15,0.26,36.04,38.44,12.73,22.5,26810,10904,11593,7854,5884,11654,9948,10145,11387,18.64,11.7,32.33,9.75,10.83,51.23,22.77,24.86,19.64,17.95,11.1,32.48,13.35,12.33,3.01,58.52,57.24,62.44,67.03,53.02,63.99,3258,6.18,3984,4.87,6.38,7.91,10.22,0.31,0.41,0.51,0.66,90.9,0.94,4.2,2.65,2.35,2.55,2.09,60.85,1.65,47.72,3,2665,90.69,55.99,11.44,54.75,1942,7,0.25,34900,45100,59200,24300,203,257,318,115,330,30.8,17.9,15,163,0,6.44,76.41,63.29,92.5,96.32,4248.1,3,6.45,120149.7,3,4.97,39,64.56,207,342.68,196,324.47,1068,1768.04,2932,4853.82,493,816.14,NA,NA,736.68,NA,155,256.6,130,215.21,71078,117667.1,458.6,256.6,86.07,96.13,3.23,0.65,0,3.87,10,8,151.6,14.6,54,7257762,83.87,0
"647","Lakewoodtownship","NJ",29,38550,3,45048,2.75,14.11,79.77,1.42,10.32,12.49,24.83,11.68,17.97,44090,97.87,29211,62.72,0.27,46.58,40.55,7.14,20.68,35996,12967,13994,9428,5106,12153,6380,8242,6939,16.09,11.31,27.3,17.19,7.29,48.9,14.39,27.62,14.89,26.48,7.12,28.58,9.66,8.54,3.37,76.48,75.33,90.12,76.92,50.84,62,1808,5.11,4749,9.83,14.17,18.57,21.94,1.04,1.49,1.96,2.31,77.81,2.97,10.49,6.82,2.62,2.57,2.73,63.98,5.53,61.37,2,1536,91.41,65.4,2.28,53.91,1970,3.55,0.32,74400,109700,147500,73100,417,513,644,227,586,35.1,25.8,19.2,101,5,10.54,50.09,57.34,76.59,89.35,1751.5,3.9,6.38,164329.7,3,6.47,23,49.58,126,271.59,118,254.35,723,1558.42,1675,3610.46,208,448.34,39,84.06,581.98,5701.29,94,202.62,85,183.22,37500,80831.2,398.9,202.6,91.47,88.3,6.38,5.32,0,10.64,6,6,65.4,25.7,36,7623750,90.43,10
"650","NorthCharlestoncity","SC",NA,NA,3,70218,2.99,34.35,62.67,1.63,2.48,17.41,41.2,23.19,5.31,70161,100,21824,83.95,0.43,21.88,13.54,7.96,12.63,23435,10315,12051,6792,10320,9686,29770,19045,13248,21.73,8.24,26.15,11.41,4.82,71.56,14.33,17.12,16.51,18.9,13.12,41.14,16.86,14.78,3.14,62.54,56.29,71.93,53.09,60.62,64.55,3568,8.65,1623,15.77,21.44,32.96,39.93,0.36,0.5,0.76,0.92,94.1,0.62,5.18,3.53,2.59,2.57,2.6,37.25,5.87,60.54,2,3109,88.32,37.49,5.08,55.87,1973,11.93,0.73,46900,60100,76200,29300,233,319,389,156,410,26.2,21.4,13.4,28,10,2.31,48.68,29.01,57.05,66.02,1354.9,3.02,2.9,81473.8,9,13.26,98,144.36,430,633.41,1000,1473.06,1488,2191.91,5472,8060.57,830,1222.64,11,16.2,2264.09,11491.32,138,203.28,133,195.92,91792,135214.91,665.2,203.3,82.23,80.43,17.39,2.17,0,19.57,4,10,7,51.8,93,5530930,96.38,10
"651","NorthMiamicity","FL",NA,NA,3,49998,2.48,31.88,62.42,2.41,24.56,11.61,26.48,12,13.09,49998,100,24898,79.31,0.68,31.97,26.14,4.62,10.03,28424,13297,16380,7962,16151,11065,7433,10062,7570,15.48,11.25,30.7,17.89,8.23,62.11,9.49,24.17,11.81,22.63,13.98,33.22,17.9,16.08,3.14,61.82,58,74.4,62.44,73.88,76.96,2369,7.52,18587,14.81,26.29,37.14,51.63,5.5,9.77,13.81,19.19,54.79,8.9,8.32,5.03,2.44,2.71,2.18,54.1,15.46,77.26,2,1980,91.04,48.68,1.62,18.18,1964,3.44,0.62,59800,71800,93500,33700,371,423,496,125,489,28.5,24.2,12.5,10,14,37.18,26.15,43.15,78.04,80.7,5728.5,7.87,3.92,140475.59,3,5.52,28,51.55,509,937.02,448,824.73,1589,2925.2,2870,5283.41,1425,2623.29,13,23.93,1818.82,10855.84,102,187.77,98,180.41,40000,73636.3,392.2,187.8,80.06,82.35,5.88,11.76,0,17.65,4,6,249.7,8.7,64,7630773,96.08,10
"662","Jacksoncity","MS",NA,NA,3,196637,2.74,55.75,43.57,0.5,0.45,16.18,29.7,15.17,10.48,196594,100,23270,77.64,0.91,29.46,26.94,10.83,12.77,28401,12216,19315,6719,6269,7230,9671,9703,43216,22.68,9.01,24.97,26.91,8.79,59.11,9.73,30.65,12.48,28.01,10.91,36.89,15.27,13.3,3.27,57.38,50.61,66.54,58.36,72,75.56,16372,10.76,2006,27.12,40.73,50.3,56.58,0.28,0.42,0.51,0.58,96.72,0.45,7.57,5.18,2.64,2.78,2.46,60.21,6.2,45.98,3,7509,90.54,57.3,10.37,40.18,1965,7.47,0.57,39900,54600,76600,36700,175,290,375,200,388,28.8,21.8,14,93,2,1.02,82.08,54.94,84.57,93.26,1741.2,1.86,4,81593.3,83,42.54,173,88.66,1505,771.31,1019,522.23,7071,3623.87,11603,5946.51,4054,2077.66,145,74.31,1424.74,11722.35,350,179.37,238,121.97,195276,100078.4,557.9,179.4,80.71,62.86,37.14,0,0,37.14,14,9,48.6,112.9,210,15920730,68,5
"668","Daytoncity","OH",113,21000,4,182044,2.51,40.43,58.37,0.64,0.74,15.22,29.63,15.68,12.01,182044,100,19779,69.08,0.34,27.28,28.83,15.5,19.55,24819,9946,11312,8015,10592,9861,5529,9876,46480,26.53,10.74,31.66,12.29,10.39,51.62,18.62,25.98,17.69,21.74,15.52,38.43,19.24,17.53,3.1,49.22,43.22,51.14,48.38,49.49,58.68,15663,10.87,2606,12.24,18,29.36,35.99,0.18,0.26,0.42,0.52,96.11,0.37,6.17,3.98,2.41,2.47,2.35,52.22,2.96,54.84,2,7700,90.42,50.98,14.44,48.9,1946,8.83,0.55,31800,43200,56200,24400,172,253,321,149,329,29.3,17.8,13.7,406,5,1.43,67.44,51.74,85.18,91.36,3194.8,7.48,2.37,177199.2,49,27.32,269,150.01,1475,822.52,1129,629.58,4303,2399.53,9473,5282.53,2939,1638.91,260,144.99,1629.43,9465.95,506,282.17,396,220.83,213229,118905.1,421.4,282.2,75.77,82.61,16.8,0.4,0.2,17.19,12,12,256,57,270,31776600,78.26,0
"675","WhitePlainscity","NY",119,81677,4,48718,2.51,19.03,73.65,3.07,14.16,10.76,24.85,11.54,13.51,48718,100,44004,80.23,0.51,54.79,27.89,4.71,14.66,56684,24330,27864,13741,14630,21738,10654,11419,3645,7.68,7.88,19.69,37.48,5.02,64.7,8.84,32.52,5.95,40.1,8.16,36.51,11.95,10.22,3.05,73.04,67.53,86.67,69.74,58.18,69.55,2181,6.71,10313,18.29,28.91,36.3,44.77,3.87,6.12,7.69,9.48,76.13,5.04,6.36,4.03,2.39,2.56,2.21,55.26,6.12,61.1,2,1282,93.81,51.63,0.94,36.19,1950,2.28,0.44,239300,296000,390400,151100,386,545,777,391,589,25.9,20.9,13.9,539,3,21.17,59.62,60.63,82.48,90.09,4794.1,18.8,1,250609.7,0,0,7,14.09,84,169.08,91,183.17,205,412.64,2201,4430.35,278,559.58,4,8.05,366.34,5410.63,200,402.58,176,354.27,47951,96519.7,239.8,402.6,86.15,87.5,8.5,4,0,12.5,2,9,107.2,10.2,56,12450292,88,0
"687","ElPasocity","TX",NA,NA,4,515342,3.21,3.44,76.87,1.16,69.02,17.84,31.16,15.53,8,515181,99.97,23460,80.77,0.6,27.54,21.77,9.74,16.12,25157,9603,10352,9929,8115,9542,6371,6538,128886,25.32,22.23,34.67,16.2,9.85,55.19,16.73,24.39,16.24,25.83,8.69,31.32,14.05,11.54,3.63,72.19,65.81,79.82,73.7,51.2,57.49,16162,3.76,120432,13.59,20.12,26.73,35.26,3.18,4.7,6.25,8.24,33.31,14.73,12.4,9.83,3.17,3.32,2.97,60.32,14.01,43.94,3,8080,95.21,57.62,5.24,29.26,1970,8.62,0.92,45500,58500,78800,33300,214,303,384,170,349,26.1,20.6,12,359,95,23.37,51.27,52.51,81.68,84.6,2027.3,3.13,4.88,61048.1,47,7.96,281,47.61,1561,264.48,4220,714.99,5643,956.09,29440,4988.01,5546,939.66,461,78.11,1035.05,6961.87,738,125.04,654,110.81,550000,93186.4,745.3,125,99.59,36.18,2.17,60.7,0.54,63.28,36,6,90.5,254.2,525,36031496,88.62,5
"698","TerreHautecity","IN",NA,NA,4,57483,2.68,9.42,88.63,1.14,1.31,18.99,32.55,20.49,14.68,57483,100,19118,68.85,0.54,35.76,36.02,9.56,19.04,24876,10527,10613,6296,5488,24202,71112,21286,10140,20.43,8.83,27.66,15.83,8.33,50.05,16.38,28.97,16.45,23.68,12.68,38.56,14.75,13.75,2.98,65.58,62.99,69.92,69.32,61.94,68.92,1144,2.78,1439,31.9,40.17,46.14,60.6,0.8,1.01,1.16,1.52,95.26,0.72,4.05,2.5,2.32,2.41,2.17,64.53,2.18,63.13,2,2589,89.25,62.11,4.48,49.09,1939,10.43,0.63,20900,32300,46900,26000,168,224,280,112,282,27.4,16.6,12.9,73,0,2.5,74.16,48.43,76.15,88.35,2006.2,1.25,6.84,47047.8,6,9.88,31,51.04,48,79.03,110,181.12,1056,1738.76,2839,4674.56,263,433.04,24,39.52,321.08,6885.88,117,192.65,109,179.47,45962,75678.8,392.8,192.6,90.34,98.29,1.71,0,0,1.71,8,7,33,28.7,66,2857353,93.16,0
"706","SanBernardinocity","CA",NA,NA,4,164164,3.01,16.01,60.64,4,34.57,14.78,30.37,14.56,9,164164,100,25533,73.63,0.33,27.88,23.34,17.98,15.9,28843,10865,13068,7947,8925,7815,6887,7167,36174,22.79,12.54,31.91,12.71,10.69,54.27,12.3,24.82,15.67,20.9,13.11,34.9,17.73,15.47,3.43,61.49,55.92,65.33,64.98,46.31,55.83,9790,7.94,25392,21.04,33.97,46.12,57.21,3.25,5.25,7.13,8.85,70.98,8.34,11.74,8.42,2.9,2.84,2.97,51.21,14.54,60.73,2,4322,92.65,52.25,10.55,26.26,1963,7.95,0.44,75500,96200,127100,51600,334,422,517,183,485,32.1,22.9,11.5,828,133,15.47,51.89,40.1,72.08,88.19,2876.8,1.72,3.86,546841.19,82,44.9,129,70.63,1550,848.7,3805,2083.42,4740,2595.38,8410,4604.89,3596,1968.99,144,78.85,3047.66,9248.11,1139,623.66,701,383.83,577907,316432.5,507.4,623.7,69.48,57.58,2.94,8.08,0.88,9.65,44,7,92.2,57.1,531,99870704,61.55,5
"708","Rochestercity","NY",55,63000,4,231636,2.47,31.53,61.09,1.76,8.66,13.87,31.43,15.28,10.4,231636,100,22785,72.54,0.33,34.45,24.83,16.52,14.6,27675,11704,14210,8073,9619,7261,5648,5967,52237,23.5,11.03,31.21,18.99,8.8,57.84,24.75,29.63,16.58,24.85,13.21,45.78,16.76,15.12,3.14,46.1,42.05,49.89,46.18,56.1,63.2,23779,14.34,14423,14.87,21.55,29.58,38.06,0.93,1.34,1.84,2.37,85.82,2.55,6.99,3.94,2.37,2.61,2.18,48.42,2.93,53.97,2,7547,92.54,44,9.51,32.68,1939,7.79,0.53,53600,65200,75500,21900,307,377,444,137,442,32.3,22.1,15.7,294,1,6.23,69.01,45.53,85.12,91.51,6248.1,10.77,5.41,234798.09,64,27.74,159,68.91,1638,709.86,843,365.33,6340,2747.57,13522,5860.05,2954,1280.18,348,150.81,1171.84,10038.61,628,272.16,556,240.95,453696,196618.8,722.4,272.2,82.43,77.71,13.22,7.32,0.8,20.54,34,7,230.5,37.1,285,54179436,88.54,10
